"Scientific Name","Common Name","Plant URL","Other Common Names","Other Scientific Names","Growth Form","Ecoregion III","Ecoregion IV","Min Height","Max Height","Min Spread","Max Spread","Leaf Retention","Lifespan","Soil","Light","Water","Native Habitat","Bloom Season","Bloom Color","Seasonal Interest","Wildlife Benefit","Maintenence","Comments","References"
"Corydalis curvisiliqua","Curvepod","https://www.npsot.org/posts/native-plant/corydalis-curvisiliqua/","Curvepod Fumewort, Scrambled Eggs, Golden Smoke","","Herbaceous","Chihuahuan Deserts, East Central Texas Plains, Edwards Plateau, High Plains, Southern Texas Plains, Texas Blackland Prairies","Chihuahuan Basins and Playas, Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Stockton Plateau, Bastrop Lost Pines, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Semiarid Edwards Plateau, Canadian/Cimarron High Plains, Northern Nueces Alluvial Plains, Semiarid Edwards Bajada, Northern Blackland Prairie","0.5","0.75","6","16","Deciduous","Perennial","Dry, Gravelly, Sand","Part Shade","Low","Grassland, Woodland Edge","Spring","Yellow","Seeds","Birds","Low maintenance. Too much shade can make plant leggy. Trim back for a denser form if desired. WARNING: can be poisonous to livestock. Native habitat: prairie, meadows, pastures, woodland edges and openings, slopes.","Blooms February-April. Short-lived perennial or annual depending on growing conditions. Has erect stems with leaves cut deeply into many sections. The showy flowers are pale yellow, with 4 petals, the outer 2 petals enclosing the inner 2. One petal has a short, straight, saclike spur at the base. They appear in clusters at the end of stems. The fruit is an erect, slender, strongly in-curved capsule, with black, shiny seeds. Birds eat the seeds.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=COCU2. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Corydalis+curvisiliqua&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=12180&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt, 6) https://seedsource.com/scrambled-eggs/, 6) http://www.texaswildbuds.com/corydalis-curvisiliqua.html, 7) https://rangeplants.tamu.edu/plant/golden-corydalis/"
"Cotinus obovatus","American Smoketree","https://www.npsot.org/posts/native-plant/cotinus-obovatus/","Texas Smoke Tree, Wild Smoke Tree, Smoke Tree, Smokebush, Chittamwood","Cotinus americanus","Tree","Edwards Plateau","Balcones Canyonlands","15","25","15","25","Deciduous","Perennial","Clay, Dry, Limestone, Loam, Rocky, Sand, Well Drained","Sun, Part Shade","Low","Woodland","Spring","Pink, Purple, Yellow","Berry, Fall Color, Forage, Nesting Material","Birds, Browsers","Slow growing. This is an excellent small, ornamental tree that thrives in tough conditions and neglect and makes an excellent small yard tree. Rich soil and too much water may create a weak plant. It is drought tolerant, but needs supplemental water to get established. Native habitat: hillsides; limestone outcrops, rocky woods, east-facing slopes or on the protected side of Ashe Junipers.","Blooms April-May. A small tree or multi-trunked shrub. Has a short trunk, open crown of spreading branches, and resinous sap with a strong odor. Spring leaves are silky pink, turning bluish-to-dark green. Fall leaves turn vibrant shades of red, orange, yellow and purple. Smoketree gets its common name from the billowy hairs attached to elongated stalks on the spent flower clusters. These hairs turn a smoky-pink to purplish-pink in summer, covering the tree with fluffy, hazy, smoke-like puffs. Berries occur on pinkish stems and then dry to small dark seeds.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 286, 287. 3) https://www.wildflower.org/plants/result.php?id_plant=COOB2. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=849&locationType=County&mapType=Normal. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt., 6) https://www.gardenia.net/plant/cotinus-obovatus, 7) https://piedmontmastergardeners.org/article/a-colorful-north-american-native-american-smoketree/"
"Coursetia axillaris","Texas Baby-bonnets","https://www.npsot.org/posts/native-plant/coursetia-axillaris/","Texas Babybonnets","","Shrub","Gulf Coast Prairies and Marshes","Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Southern Subhumid Gulf Coastal Prairies","3","5","2","3","Semi Evergreen","Perennial","Caliche, Clay, Dry, Loam, Saline, Sand","Sun, Part Shade","Low","Grassland, Woodland","Spring, Summer, Fall","Pink, White, Yellow","Larval Host, Nectar","Butterflies","Rare in the wild, but propagated commercially. Drought tolerant. It can adapt to various soils as long as they are well-drained. Somewhat tolerant of saline soils. Will go dormant in summer heat but will return in cooler weather. Supplemental watering encourages flowering. Native habitat: plains, caliche ridges, woodlands.","Blooms February-May. A densely branched shrub. Leaves are compound, divided into 6–10 small leaflets. Produces tiny sweet-pea-shaped flowers that can be white, yellow, or pink. The fruit is a small, reddish pod. Larval host: Southern Dogface Butterfly.","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=26555&print_version=SCR&source=from_print#null, 2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=10853&locationType=County&mapType=Normal, 3) https://www.wildflower.org/plants/result.php?id_plant=COAX, 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Coursetia+axillaris&formsubmit=Search+Terms, 5) Richardson, Alfred. Plants of Deep South Texas: A Field Guide to the Woody and Flowering Species (Perspectives on South Texas, sponsored by Texas A&M University-Kingsville), p. 255. Texas A&M University Press, 6) https://en.wikipedia.org/wiki/Coursetia_axillaris#:~:text=Coursetia%20axillaris%2C%20the%20Texas%20babybonnets,the%20Lower%20Rio%20Grande%20Valley, 7) http://www.texaswildbuds.com/coursetia-axillaris.html#:~:text=(Texas%20Babybonnets)&text=Habitat:%20Open%20areas%2C%20caliche%20ridges,the%20Wildflower%20Center%20in%20Austin."
"Crataegus crus-galli","Cockspur Hawthorn","https://www.npsot.org/posts/native-plant/crataegus-crus-galli/","Bush Hawthorn, Cockspur Thorn, Newcastle Hawthorn, Newcastle Thorn, Hog Apple","Crataegus acutifolia, Crataegus acutifolia var. insignis, Crataegus algens, Crataegus barrettiana, Crataegus bushii, Crataegus canbyi, Crataegus cherokeensis, Crataegus cocksii, Crataegus crus-galli var. barrettiana, Crataegus crus-galli var. bellica, Crataegus crus-galli var. capillata, Crataegus crus-galli var. exigua, Crataegus crus-galli var. leptophylla, Crataegus crus-galli var. macra, Crataegus crus-galli var. oblongata, Crataegus crus-galli var. pachyphylla, Crataegus crus-galli var. pyracanthifolia, Crataegus danielsii, Crataegus denaria, Crataegus fecunda, Crataegus fontanesiana, Crataegus hannibalensis, Crataegus mohrii, Crataegus operta, Crataegus palliata, Crataegus palmeri, Crataegus permixta, Crataegus pyracanthoides, Crataegus regalis, Crataegus regalis var. paradoxa, Crataegus sabineana, Crataegus schizophylla, Crataegus signata, Crataegus subpilosa, Crataegus tantula, Crataegus tenax, Crataegus triumphalis, Crataegus uniqua, Crataegus vallicola","Tree","Cross Timbers, East Central Texas Plains, Edwards Plateau, Texas Blackland Prairies, Western Gulf Coastal Plain","Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Southern Post Oak Savanna, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Floodplains and Low Terraces, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Southern Tertiary Uplands","20","30","20","30","Deciduous","Perennial","Clay, Loam, Moist, Sand","Sun, Part Shade, Shade","Low","Riparian, Woodland","Spring","White","Fall Color, Fruit, Larval Host, Nectar, Pollen","Bees, Birds, Butterflies, Small Mammals","Densely set branches make it difficult to grow grasses underneath. Thicket forming. Glossy foliage which turns bright orange or red in fall. Native habitat: limestone regions, growing in fertile or rocky ground in thickets and pastures, and in open woodland, along small streams.","Blooms May-June. Short trunk with exfoliating bark. Horizontal, thorny branches sweep the ground. Produces shiny dark green, spoon-shaped leaves. Profuse clusters of white flowers are followed by small, red ""apples,"" persistent until January.   Larval host: Striped Hairstreak, Banded Hairstreak, Soapberry Hairstreak, King's Hairstreak, Gray Hairstreak. ","1) https://www.wildflower.org/plants/result.php?id_plant=CRCR2  2) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24552#null  3) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21300&locationType=County&mapType=Normal  4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Crataegus+crus-galli&formsubmit=Search+Terms"
"Crataegus marshallii","Parsley Hawthorn","https://www.npsot.org/posts/native-plant/crataegus-marshallii/","Parsleyleaf Hawthorn","","Subshrub, Tree","Gulf Coast Prairies and Marshes, Western Gulf Coastal Plain","Northern Humid Gulf Coastal Prairies, Flatwoods, Floodplains and Low Terraces, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","10","25","12","15","Deciduous","Perennial","Clay, Dry, Loam, Poor Drainage, Sand, Silt","Sun, Part Shade","Low, Medium","Grassland, Woodland","Spring","White","Berry, Fall Color, Forage, Nectar, Pollen","Bees, Birds, Butterflies, Deer, Small Mammals","Drought tolerant. Compact form ideal for smaller landscapes. Makes a nice specimen or hedge. Provides good erosion control. Tolerates occasional dry to wet soil. Native habitat: sandy, alluvial woods & low pastures.","Blooms March-May. A shrub or small tree with spreading habit, slender, thorny branches, and broad, open crown. The grey bark is smooth when young, but develops a shaggy appearance with age. Leaves look like parsley, turning colorful in the fall. Dainty white 5-petaled blooms with red stamens, followed by red berries (called haws) in the fall.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 287-288. 3) https://www.wildflower.org/plants/result.php?id_plant=CRMA5. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Crataegus+marshallii&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21209&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24584#null., 7) https://www.gardenia.net/plant/crataegus-marshallii-parsley-hawthorn."
"Crataegus opaca","Mayhaw","https://www.npsot.org/posts/native-plant/crataegus-opaca/","Western Mayhaw, May Hawthorn, Riverflat Hawthorn, Applehaw, May Haw","Crataegus nudiflora","Tree","Gulf Coast Prairies and Marshes, Western Gulf Coastal Plain","Northern Humid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Flatwoods, Southern Tertiary Uplands","20","30","20","30","Deciduous","Perennial","Clay, Loam, Moist, Poor Drainage, Rich, Well Drained","Part Shade","Medium, High","Woodland","Spring","White","Fruit, Pollen","Bees, Birds, Small Mammals","A very easily grown plant, Adapts to a variety of soils. Moderate growth rate. Used in landscapes as an ornamental tree or hedge. Takes from 5-8 years before they start bearing fruit. Seedlings should not be left in a seedbed for more than 2 years without being transplanted. Native habitat: low, wet woods, creek and river bottoms.","Blooms February-March. Grows as a small tree or shrub, with spiny branches and oval to oblong, dark-green leaves. Clusters of pink or white flowers appear before and with the leaves. When freshly open, the flowers have a pleasant balsamic scent that turns foetid, somewhat like decaying fish. This attracts midges that assist with fertilization. The round, red, fleshy fruit ripens from May to June. ","1) https://www.wildflower.org/plants/result.php?id_plant=CROP, 2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21257&locationType=County&mapType=Normal, 3) https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24590#null, 4) https://pfaf.org/user/plant.aspx?LatinName=Crataegus+opaca#:~:text=Edible%20Uses:,a%20single%20seed%5BK%5D."
"Crataegus spathulata","Littlehip Hawthorn","https://www.npsot.org/posts/native-plant/crataegus-spathulata/","Pasture Hawthorn, Smallfruit Hawthorn","Crataegus microcarpa","Shrub, Tree","East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Northern Humid Gulf Coastal Prairies, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","15","20","15","20","Deciduous","Perennial","Sand, Clay, Moist","Part Shade, Shade","Medium","Woodland","Spring","White","Fruit, Pollen","Birds, Bees","Slow growing. Works well in butterfly and pollinator gardens. They are best suited to partial shade in any reasonably well drained garden soil.  Once established they have considerable drought tolerance. Leaf diseases such as cedar-hawthorn rust and leaf miners may mar the foliage and can slow the growth of the plant but are not sufficiently problematic to warrant control remedies. Native habitat: mixed pine/hardwood forests, bottomlands, along fence rows, in and in forest clearings.","Blooms March-May. The slender branches are usually thorny. Leaves are small, trilobed, spatulate. Flaking bark of main trunk is multicolored green, brown, gray, yellowish, Flowers are produced in flat-top clusters.  Bright red fruit, with thin dry flesh, and 3-5 nutlets","1) https://www.wildflower.org/plants/result.php?id_plant=CRSP, 2) https://fsus.ncbg.unc.edu/main.php?pg=show-taxon.php&plantname=crataegus+spathula 3) https://plants.ces.ncsu.edu/plants/crataegus-spathulata/#:~:text=Cultural%20Conditions:%20Light:%20Deep%20shade,Flower%20Description: 4) https://www.onlineplantguide.com/Plant-Details/680/  5) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21169&locationType=County&mapType=Normal  6) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Crataegus+spathulata&formsubmit=Search+Terms 7) http://floraofalabama.org/Plant.aspx?id=3143&display=photos#:~:text=Species:,Crataegus%20spathulata%20Michx.&text=Plant%20Notes:,Diamond.&text=**%20Not%20applicable%20or%20data%20not%20available.  8) https://www.uaex.uada.edu/yard-garden/resource-library/plant-week/hawthorn-littlehip-3-29-13.aspx#:~:text=Littlehip%20hawthorn%20has%201/3rd,reasonably%20well%20drained%20garden%20soil."
"Crataegus tracyi","Tracy's Hawthorn","https://www.npsot.org/posts/native-plant/crataegus-tracyi/","Tracy Hawthorn, Mountain Hawthorn","Crataegus montivaga","Tree","Chihuahuan Deserts, Edwards Plateau","Low Mountains and Bajadas, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Semiarid Edwards Plateau","13","25","10","15","Deciduous","Perennial","Dry, Granitic, Rocky","Part Shade","Low","Riparian","Spring","White","Fall Color, Fruit, Nectar, Pollen","Bees, Birds, Butterflies, Small Mammals","Attractive ornamental. Often with red autumn leaves. Plant away from foot traffic due to thorny branches. Native habitat: rocky banks of streams, acidic, igneous soils. Very little information in literature. More will be added as it becomes available.","Blooms April-May, A small tree with a highly variable form. Branches are thorny. Produces white flowers and red, fleshy, somewhat hairy fruit. ","1) https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24606#null, 2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21156&locationType=County&mapType=Normal  3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Crataegus+tracyi&formsubmit=Searhttps://www.wildflower.org/plants/result.php?id_plant=CRTRch+Terms  4) https://en.wikipedia.org/wiki/Crataegus_tracyi#:~:text=Crataegus%20tracyi%20is%20a%20species,become%20a%20valuable%20ornamental%20plant.  5) https://www.nativesoftexas.com/thawthorn.html#:~:text=Natives%20of%20Texas%20%2D%2D%20Tracy%20Hawthorne&text=Found%20on%20the%20rocky%20ledges,should%20be%20protected%20from%20deer."
"Crataegus viridis","Green Hawthorn","https://www.npsot.org/posts/native-plant/crataegus-viridis/","Southern Hawthorn","","Shrub, Tree","East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","Southern Post Oak Savanna, Northern Humid Gulf Coastal Prairies, Floodplains and Low Terraces, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Southern Tertiary Uplands","20","30","20","30","Deciduous","Perennial","Clay, Loam, Moist, Sand","Part Shade","High","Grassland, Woodland","Spring","White","Fall Color, Fruit, Larval Host, Nectar, Nesting Material, Pollen","Bees, Birds, Butterflies, Small Mammals","Showy, understory tree, Blooms ornamental and provides attractive fall color. Pollution tolerance makes it a good candidate for urban plantings. One of the most disease-resistant hawthorns. As with most hawthorns, there is some susceptibility to cedar hawthorn rust (rust stage where eastern red cedars are present in the area) and fireblight. Fungal leaf spots, powdery mildew, cankers and apple scab are occasional problems. Insect pests include borers, caterpillars, lacebugs, leafminers and scale. Native habitat: open woodlands, prairie, meadows. ","Blooms March-April, Straight, A thicket forming tree. Often fluted trunk, with a rounded, dense crown of spreading branches, shiny foliage. Bark on mature trunks exfoliates to reveal orange inner bark. Showy five petal flowers.  Small red to yellow fruit. Larval host: King's hairstreak, Gray hairstreak, Soapberry hairstreak, Banded hairstreak, Red-Banded hairstreak. ","1) https://www.wildflower.org/plants/result.php?id_plant=CRVI2  2) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24612#null,  3) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21161&locationType=County&mapType=Normal  4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Crataegus+viridis&formsubmit=Search+Terms 5) https://www.npsot.org/wp-admin/post.php?post=121812&action=edit  6) https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=286496&isprofile=0&basic=Crataegus%20viridis#:~:text=Easily%20grown%20in%20average%2C%20dry,Tolerant%20of%20urban%20pollution."
"Crinum americanum","Swamp Lily","https://www.npsot.org/posts/native-plant/crinum-americanum/","American Crinum Lily, Seven Sisters, Southern Swamp Lily, String Lily, Crinum Lily","Crinum floridanum, Crinum strictum, Crinum strictum var. traubii","Herbaceous, Wetland","Gulf Coast Prairies and Marshes","Northern Humid Gulf Coastal Prairies","2","3","1","2","Evergreen","Perennial","Calcareous, Clay, Loam, Moist, Mud, Poor Drainage, Rich, Sand","Part Shade","Medium","Riparian, Wetland, Woodland","Summer, Fall","White","Nectar, Pollen","Bees, Butterflies, Moths","Will bloom in deep shade. Does best in water gardens, bogs or ponds, but does well once established in a moist garden soils. Freezes back to water level in winter, but greens up again immediately. Provides good cut flowers. Native habitat: freshwater marshes, cypress swamps, ditches, and lake edges.","Blooms June-November. Erect plants that grow in small clumps. The long, narrow leaves grow directly from the bulb. Two to six flowers form a showy umbel at the top of the stem. The fragrant flowers are white, sometimes marked with pink. The sepals are 3-4 inches long, joined at the base, forming a long tube. The fruit is a capsule.","1) https://www.wildflower.org/plants/result.php?id_plant=CRAM2; 2) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=182710#null; 3) https://plants.ces.ncsu.edu/plants/crinum-americanum/; 4) https://www.fnps.org/plant/crinum-americanum, 5) https://www.gchouston.org/bulb-plant-mart/crinum-americanum/"
"Croton capitatus","Texas Goatweed","https://www.npsot.org/posts/native-plant/croton-capitatus/","Hogwort","Croton capitatus var. genuinus","Herbaceous","Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Texas Blackland Prairies, Western Gulf Coastal Plain","Low Mountains and Bajadas, Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Balcones Canyonlands, Llano Uplift, Coastal Sand Plain, Laguna Madre Barrier Island and Coastal Marshes, Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley, Mid-Coast Barrier Islands and Coastal Marshes, Northern Humid Gulf Coastal Prairies, Southern Subhumid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Northern Nueces Alluvial Plains, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","2","3","0.25","0.5","Deciduous","Annual","Dry, Loam, Rocky, Sand, Well Drained","Sun","Low","Disturbed Areas","Summer","White","Larval Host, Nectar, Seeds","Birds, Butterflies","Works well for butterfly gardens. May be grown in a container. Water the plant when the soil is almost completely dry, but avoid waterlogging. WARNING: toxic to pets and humans if ingested. The plant contains compounds that can cause gastrointestinal distress and skin irritation. Native habitat: dry, usually sandy soil and waste places.","Blooms July-September. Erect, branched stems are densely covered with light brown, wooly hairs that give it a whitish appearance. Gray-green fuzzy leaves are oval to lance-shaped, with margins sometimes wavy. Flowers are densely clustered at the stem tips, with male flowers toward the tip, and female flowers below. Male flowers have 5 tiny white petals and 10–14 anthers. Female flowers have 6–9 calyx lobes and lack petals. Fruits are hairy spherical capsules that split open to release 3 round or oblong seeds. Larval host: Anaea andria, Goatweed Leafwing.","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28266#null, 2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=9999&locationType=County&mahttps://portal.torcherbaria.org/portal/taxa/index.php?taxon=Croton+capitatus&formsubmit=Search+Terms, 4) https://www.wildflower.org/plants/result.php?id_plant=CRCA6, 5) https://myplantin.com/plant/7555, 6) https://earthone.io/plant/croton%20capitatus, 6) https://plants.ces.ncsu.edu/plants/croton-capitatus/"
"Croton cortesianus","Cortes Croton","https://www.npsot.org/posts/native-plant/croton-cortesianus/","Palillo","","Shrub","Gulf Coast Prairies and Marshes","Lower Rio Grande Alluvial Floodplain, Lower Rio Grande Valley","3","6","2","4","Deciduous","Perennial","Caliche, Clay, Loam, Sand","Part Shade, Shade","Low, Medium","Woodland","Spring, Summer, Fall","White, Yellow","Nectar, Pollen","Bees, Butterflies","Can take full sun but may go dormant in extreme heat. Very little information available for this plant. More will be added as it appears.","Blooms February-October. A medium sized shrub, with oval to lance-shaped leaves. Young stems are often blackened by fungus. Flowers are clustered at the end of stems. Male and female flowers occur on separate plants. The fruit is a capsule with three rounded, inflated, lobes. One of 14 croton species in the Lower Rio Grande Valley, this species has larger green leaves.","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28268&print_version=SCR&source=from_print#null, 2) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=9991&locationType=County&mapType=Normal, 3) https://www.wildflower.org/plants/result.php?id_plant=CRCO9, 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Croton+cortesianus&formsubmit=Search+Terms, 5) Richardson, Alfred. Plants of Deep South Texas: A Field Guide to the Woody and Flowering Species (Perspectives on South Texas, sponsored by Texas A&M University-Kingsville), p. 215. Texas A&M University Press, 6) http://dev.floranorthamerica.org/Croton_cortesianus"
"Croton fruticulosus","Bush Croton","https://www.npsot.org/posts/native-plant/croton-fruticulosus/","Shrubby Croton, Hierba Loca","","Herbaceous","Chihuahuan Deserts, Edwards Plateau","Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Stockton Plateau, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Semiarid Edwards Plateau","1","3","1","3","Deciduous","Perennial","Calcareous, Caliche, Dry, Limestone, Rocky, Well Drained","Part Shade","Low","Woodland","Spring","Green","Fall Color, Nectar, Pollen, Seeds","Bees, Birds, Butterflies, Nectar Insects","This is a good shrub for shady spots in the garden, but more light will give greener leaves. Drought tolerant. Too much water can cause root rot, but too little water can dry out the plant. May be pruned but However, you should avoid trimming off more than a third of a stem's length in one session.  Highly deer resistant. Native habitat: limestone hills, bluffs, canyons, or rocky ravines.","Blooms April-May. Tiny, white flowers grow at the end of branchlets. The stems are slender and smooth with grayish green, densely hairy leaves that turn yellow in the fall. The fruit is a 3-lobed capsule that is also slightly hairy. The seeds are of special interest to dove and quail. ","1) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28274#null 2) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=9984&locationType=County&mapType=Normal 3) https://www.wildflower.org/plants/result.php?id_plant=CRFR, 4) https://backyardnature.net/n/w/croton2.htm, 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Croton+fruticulosus&formsubmit=Search+Terms, 6) https://backyardnature.net/n/w/croton2.htm, 7) https://davesgarden.com/guides/pf/go/135247/#b, 8) https://smgreenbelt.org/trail-notes-surviving-the-deep-freeze/#:~:text=Other%20croton%20species%20in%20Texas%20are%20host,April%20and%20May%2C%20followed%20by%20a%20three"
"Croton monanthogynus","Prairie Tea","https://www.npsot.org/posts/native-plant/croton-monanthogynus/","One-seed Croton, Doveweed, Dove Weed, Prairie Goatweed","Croton ellipticus, Argythamnia herbacea ","Herbaceous","Central Great Plains, Chihuahuan Deserts, Cross Timbers, East Central Texas Plains, Edwards Plateau, Gulf Coast Prairies and Marshes, Southern Texas Plains, Texas Blackland Prairies, Western Gulf Coastal Plain","Broken Red Plains, Limestone Plains, Red Prairie, Chihuahuan Basins and Playas, Chihuahuan Desert Grasslands, Chihuahuan Montane Woodlands, Low Mountains and Bajadas, Stockton Plateau, Carbonate Cross Timbers, Eastern Cross Timbers, Grand Prairie, Limestone Cut Plain, Western Cross Timbers, Bastrop Lost Pines, Floodplains and Low Terraces, Northern Post Oak Savanna, Northern Prairie Outliers, San Antonio Prairie, Southern Post Oak Savanna, Balcones Canyonlands, Edwards Plateau Woodland, Llano Uplift, Semiarid Edwards Plateau, Coastal Sand Plain, Laguna Madre Barrier Island and Coastal Marshes, Mid-Coast Barrier Islands and Coastal Marshes, Northern Humid Gulf Coastal Prairies, Southern Subhumid Gulf Coastal Prairies, Texas-Louisiana Coastal Marshes, Northern Nueces Alluvial Plains, Rio Grande Floodplain and Terraces, Semiarid Edwards Bajada, Texas-Tamaulipan Thornscrub, Northern Blackland Prairie, Southern Blackland Prairie, Flatwoods, Pleistocene Fluvial Terraces, Red River Bottomlands, Southern Tertiary Uplands, Tertiary Uplands","1","2","1","2","Deciduous","Annual","Calcareous, Gravelly, Limestone","Sun, Part Shade","Low","Grassland, Woodland Edge","Spring, Summer, Fall","White","Larval Host, Seeds","Birds, Butterflies, Caterpillars","A common native ""weedy"" species you may find growing in your yard that might deserve a special spot for its wildlife value. No special care needed. Native habitat: dry prairie, pastures and fallow fields, along roads and railroads, and rarely in open woods,","Blooms April-September. Widely branched, mounding form. Leaves are ovate to oblong. silvery-green and rather densely hairy. Inconspicuous flowers. The fruit is a small green capsule. Larval Host: Goatweed Leafwing butterfly (Anaea andria). ","1) https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=28283#null  2) https://www.wildflower.org/plants/result.php?id_plant=CRMO6  3) https://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=9970&locationType=County&mapType=Normal  4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Croton+monanthogynus&formsubmit=Search+Terms"
